"ID","Quantite","KM","NOM","LAT","LONG"
0,4240.356,"179","Na Cham",106.611884,22.056614
1,0,"171","Ban Trang",106.65286,21.998528
2,1822.28,"163","Dong Dang",106.697315,21.943345
3,0,"158","Tam Lung",106.711481,21.924793
4,0,"155","Quan Ho",106.733173,21.907363
5,0,"150","Ky Lua",106.7587824,21.8709539
6,1874.934,"148","Lang Son",106.768611,21.856389
7,0,"137","Ban Thi",106.733611,21.766944
8,8.84,"125","Lang Giai",106.665,21.713611
9,4,"119","Lang Nac",106.615256,21.686373
10,4151.796,"114","Dong Mo",106.576944,21.651389
11,934.924,"110","Than Moi",106.556038,21.630119
12,0,"106","Lang Cang",106.534722,21.601389
13,1745.69,"99","Song Hoa",106.489722,21.556111
14,0,"95","Cau Chuc",106.454238,21.545863
15,754.757,"90","Bac Le",106.431389,21.516111
17,4855.583,"82","Pho Vi",106.378333,21.473333
18,1103.5,"78","Suoi Ganh",106.36283,21.45069
19,486.684,"68","Kep",106.290833,21.416944
20,124.382,"57","Les Pins",106.244493,21.316546
21,3242.383,"50","Phu Lang Thuong",106.191389,21.278889
22,0,"44","Nui Tiet",106.143681,21.274521
23,0,"39","Seno",106.104722,21.2525
24,2589.142,"33","Thi Cau",106.081111,21.195
26,1672.514,"29","Bac Ninh",106.055833,21.178333
27,65.92,"24","Pagode De Lim",106.019444,21.146667
28,287.175,"18","Phu Tu Son",105.9625,21.120278
30,304.92,"11","Yen Vien",105.9175,21.086944
31,2038.773,"6","Gia Lam",105.881111,21.0525
32,6.47,"5","Rive Gauche",105.87446,21.049857
33,37722.561,"0","Hanoi",105.840405,21.02327
34,245.43,"9","Van Dien",105.843611,20.943889
35,303.81,"18","Thuong Tin",105.864722,20.869444
36,0,"26","Cho Tia",105.884722,20.801111
37,500.922,"30","Do Xa",105.914735,20.672803
38,191.49,"36","Cau Guot Phu Xuyen",105.920583,20.630099
39,48.47,"45","Dong Van",105.918889,20.638611
40,1377.031,"56","Phu Ly",105.913056,20.540556
41,28.217,"67","Binh Luc",105.997222,20.493056
42,599.682,"73","Cau Ho",106.049722,20.465833
