"ID","Quantite","KM","NOM","LAT","LONG"
0,9624.38,"179","Na Cham",106.611884,22.056614
1,0,"171","Ban Trang",106.65286,21.998528
2,524.13,"163","Dong Dang",106.697315,21.943345
5,1124.67,"150","Ky Lua",106.7587824,21.8709539
6,13072.62,"148","Lang Son",106.768611,21.856389
7,884.86,"137","Ban Thi",106.733611,21.766944
8,1313.79,"125","Lang Giai",106.665,21.713611
9,9.9,"119","Lang Nac",106.615256,21.686373
10,825.37,"114","Dong Mo",106.576944,21.651389
11,209.79,"110","Than Moi",106.556038,21.630119
13,237.55,"99","Song Hoa",106.489722,21.556111
15,133.06,"90","Bac Le",106.431389,21.516111
17,180.89,"82","Pho Vi",106.378333,21.473333
19,234.02,"68","Kep",106.290833,21.416944
20,35.83,"57","Les Pins",106.244493,21.316546
21,21895.1,"50","Phu Lang Thuong",106.191389,21.278889
23,39.43,"39","Seno",106.104722,21.2525
24,7423.94,"33","Thi Cau",106.081111,21.195
25,0.33,"30","Cho Nhon",106.0653652,21.1832531
26,1062.66,"29","Bac Ninh",106.055833,21.178333
27,325.56,"24","Pagode De Lim",106.019444,21.146667
28,5694.69,"18","Phu Tu Son",105.9625,21.120278
29,1.8,"15","Chua Dan",105.939856,21.108252
30,2575.91,"11","Yen Vien",105.9175,21.086944
31,15488.87,"6","Gia Lam",105.881111,21.0525
32,1167.29,"5","Rive Gauche",105.87446,21.049857
33,121125.89,"0","Hanoi",105.840405,21.02327
34,4686.35,"9","Van Dien",105.843611,20.943889
35,2020.95,"18","Thuong Tin",105.864722,20.869444
36,808.04,"26","Cho Tia",105.884722,20.801111
37,482.48,"30","Do Xa",105.914735,20.672803
38,563.6,"36","Cau Guot Phu Xuyen",105.920583,20.630099
39,495.95,"45","Dong Van",105.918889,20.638611
40,2572.15,"56","Phu Ly",105.913056,20.540556
41,890.8,"67","Binh Luc",105.997222,20.493056
42,1389.95,"73","Cau Ho",106.049722,20.465833
43,45.05,"82","Dang Xa",106.118889,20.441667
44,6427.6,"87","Nam Dinh",106.163889,20.421944
45,37651.67,"90","Nam Dinh Do Che",106.152216,20.401997
46,78.19,"94","Trinh Xuyen",106.1325,20.370833
47,607.94,"101","Nui Goi",106.076944,20.331389
48,101.4,"108","Cat Dang",106.025,20.295278
49,2370.43,"114","Ninh Binh",105.983845,20.261668
51,64.12,"126","Cho Ganh",105.92759,20.16343
52,248.82,"134","Dong Giao",105.870833,20.138611
53,127.44,"142","Bim Son",105.855278,20.081389
54,823.55,"153","Do Len",105.844444,19.987778
55,364.04,"162","Nghia Trang",105.813889,19.916111
56,6709.225,"171","Ham Rong",105.787825,19.839216
57,7469.82,"175","Thanh Hoa",105.766944,19.811667
58,2048.19,"188","Yen Thai",105.707222,19.718333
59,73.9,"197","Minh Khoi",105.701944,19.632778
60,94.56,"208","Thi Long",105.71,19.541667
61,116.1,"219","Van Trai",105.763333,19.457778
62,351.91,"229","Khoa Truong",105.731944,19.375556
63,476.62,"246","Hoang Mai",105.696667,19.268333
64,1561.43,"262","Cau Giat",105.625556,19.158889
65,1388.26,"272","Yen Ly",105.585833,19.076667
67,2267.08,"279","Cho Si",105.575833,19.0075
68,1729.39,"284","Phu Dien",105.580794,18.963816
70,531.17,"301","Do Cam",105.6491,18.859793
71,6694.96,"309","Quan Hanh Xa Doai",105.6475,18.784444
74,16726.11,"321","Vinh",105.664444,18.688333
76,5460.27,"326","Ben Thuy",105.658766,18.649522
78,566.67,"332","Yen Xuan",105.62,18.603889
79,4523.45,"338","Cho Thuong",105.596404,18.559116
82,830.68,"353","Yen Due",105.566389,18.426944
83,0,"360","Hoa Duyet",105.601944,18.383889
85,905.56,"372","Thanh Luyen",105.636389,18.296389
87,80.25,"382","Chu Le",105.698333,18.223056
88,4394.16,"386","Gia Pho",105.707778,18.169722
89,216.02,"391","Loc Yen",105.746589,18.133012
90,624.33,"398","Phuc Trach",105.769722,18.110833
91,20813.11,"405","La Khe",105.826111,18.0625
92,3395.12,"411","Tan Ap",105.854167,18.033611
93,102.06,"na","Thanh Lang",105.79042,17.84671
94,1318.08,"430","Xom Cuc",105.77636,17.68945
96,906.87,"470","Ba Na Phao",105.59396,17.54702
97,5375.63,"428","Kim Lu",105.961732,17.950333
98,18.9,"438","Dong Le",106.021944,17.887778
99,78.5,"451","Ngoc Lam",106.121111,17.828611
100,171.47,"459","Lac Son",106.188889,17.811389
101,0,"473","Lac Giao",106.296792,17.756704
102,2901.5,"482","Minh Le",106.370278,17.712222
103,8.2,"489","Ngan Son",106.394167,17.67
106,149.33,"507","Bo Trach",106.522222,17.575556
107,55.25,"511","Phuc Tu",106.542778,17.551667
