"ID","Quantite","KM","NOM","LAT","LONG"
246,4274.49,"na","Nha Trang",109.184444,12.247778
284,4068.92,"na","Phan Thiet",108.1062684,10.9235598
132,4066.11,"689","Hue",107.578028,16.4565
264,3114.59,"na","Tourcham",108.95,11.597222
0,2546.53,"179","Na Cham",106.611884,22.056614
148,2109.293,"796","Tourane Marche",108.225144,16.069668
295,1984.91,"na","Dau Giay",107.137778,10.930833
6,1714.29,"148","Lang Son",106.768611,21.856389
124,1487.198,"634","Quang Tri",107.186944,16.737778
122,1416.528,"621","Dong Ha",107.111667,16.811111
