"ID","Quantite","KM","NOM","LAT","LONG"
306,13737.65,"0","Sai Gon",106.667408,10.785243
33,6710.39,"0","Ha Noi",105.840405,21.02327
300,6518.23,"na","Bien Hoa",106.826389,10.950556
144,4760.055,"777","Lien Chieu",108.1305,16.11001
148,4394.928,"796","Tourane Marche",108.225144,16.069668
31,3754.88,"6","Gia Lam",105.881111,21.0525
45,1127.82,"90","Nam Dinh Do Che",106.152216,20.401997
307,729.48,"5","Cho Lon",106.62312,10.75971
284,668.4,"na","Phan Thiet",108.1062684,10.9235598
21,520.39,"50","Phu Lang Thuong",106.191389,21.278889
