KM,NOM,ID,LAT,LONG
179,Na Cham,0,106.611884,22.056614
171,Ban Trang,1,106.65286,21.998528
163,Dong Dang,2,106.697315,21.943345
158,Tam Lung,3,106.711481,21.924793
155,Quan Ho,4,106.733173,21.907363
150,Ky Lua,5,106.7587824,21.8709539
149,Ky Lua (Pont),360,106.764259,21.865127
148,Lang Son,6,106.768611,21.856389
137,Ban Thi,7,106.733611,21.766944
125,Lang Giai,8,106.665,21.713611
119,Lang Nac,9,106.615256,21.686373
114,Dong Mo,10,106.576944,21.651389
110,Than Moi,11,106.556038,21.630119
106,Lang Cang,12,106.534722,21.601389
99,Song Hoa,13,106.489722,21.556111
95,Cau Chuc,14,106.454238,21.545863
90,Bac Le,15,106.431389,21.516111
86,Sans Nom,16,106.399107,21.49941
82,Pho Vi,17,106.378333,21.473333
78,Suoi Ganh,18,106.36283,21.45069
68,Kep,19,106.290833,21.416944
62,Voi,342,106.258968,21.353012
57,Les Pins,20,106.244493,21.316546
50,Phu Lang Thuong,21,106.191389,21.278889
44,Nui Tiet,22,106.143681,21.274521
39,Seno,23,106.104722,21.2525
33,Thi Cau,24,106.081111,21.195
30,Cho Nhon,25,106.0653652,21.1832531
29,Bac Ninh,26,106.055833,21.178333
24,Pagode De Lim,27,106.019444,21.146667
18,Phu Tu Son,28,105.9625,21.120278
15,Chua Dan,29,105.939856,21.108252
11,Yen Vien,30,105.9175,21.086944
6,Gia Lam,31,105.881111,21.0525
5,Rive Gauche,32,105.87446,21.049857
5,Hanoi Grand Marche,356,105.865112,21.046233
0,Ha Noi,33,105.840405,21.02327
4,Nga Tu Vong,361,105.840568,20.973219
9,Van Dien,34,105.843611,20.943889
15,Quang Ganh,362,105.848722,20.903706
18,Thuong Tin,35,105.864722,20.869444
24,Pho Tia Vu Lang,357,105.883355,20.81912
26,Cho Tia,36,105.884722,20.801111
30,Do Xa,37,105.914735,20.672803
34,Cho Phu Xuyen,362,105.913056,20.7375
36,Cau Guot Phu Xuyen,38,105.920583,20.630099
36,Cau Gie,343,105.923383,20.620215
45,Dong Van,39,105.918889,20.638611
56,Phu Ly,40,105.913056,20.540556
59,Bang Khe,344,105.933349,20.52484
63,Dong Xa,345,105.96127,20.509479
67,Binh Luc,41,105.997222,20.493056
71,Dong Quang,346,106.034922,20.478758
73,Cau Ho,42,106.049722,20.465833
79,Le Xa,347,106.085863,20.443837
82,Dang Xa,43,106.118889,20.441667
87,Nam Dinh,44,106.163889,20.421944
90,Nam Dinh Do Che,45,106.152216,20.401997
94,Trinh Xuyen,46,106.1325,20.370833
97,Pho So,348,106.117027,20.352538
101,Nui Goi,47,106.076944,20.331389
105,Ninh Xa,349,106.04735,20.31482
108,Cat Dang,48,106.025,20.295278
114,Ninh Binh,49,105.983845,20.261668
120,Cau Yen,50,105.965556,20.203889
123,Mai Thon,350,105.95197,20.17925
126,Cho Ganh,51,105.92759,20.16343
134,Dong Giao,52,105.870833,20.138611
142,Bim Son,53,105.855278,20.081389
146,Cau Cu,351,105.84556,20.0478
153,Do Len,54,105.844444,19.987778
162,Nghia Trang,55,105.813889,19.916111
171,Ham Rong,56,105.787825,19.839216
175,Thanh Hoa,57,105.766944,19.811667
183,Doi Trung,352,105.73058,19.76361
188,Yen Thai,58,105.707222,19.718333
197,Minh Khoi,59,105.701944,19.632778
208,Thi Long,60,105.71,19.541667
219,Van Trai,61,105.763333,19.457778
229,Khoa Truong,62,105.731944,19.375556
246,Hoang Mai,63,105.696667,19.268333
262,Cau Giat,64,105.625556,19.158889
272,Yen Ly,65,105.585833,19.076667
276,Dong Thap,66,105.58019,19.06188
279,Cho Si,67,105.575833,19.0075
284,Phu Dien,68,105.580794,18.963816
292,My Ly,69,105.601111,18.8975
301,Do Cam,70,105.6491,18.859793
309,Quan Hanh Xa Doai,71,105.6475,18.784444
313,Quang Sen,72,105.656993,18.748879
317,Quan Banh,73,105.660742,18.734808
321,Vinh,74,105.664444,18.688333
324,Truong Thi,75,105.660729,18.664759
326,Ben Thuy,76,105.658766,18.649522
328,Than Tuong,77,105.642581,18.631567
332,Yen Xuan,78,105.62,18.603889
335,Cho Do,363,105.600934,18.583248
338,Cho Thuong,79,105.596404,18.559116
340,Phu Duc,364,105.590199,18.540667
342,Yen Trung,80,105.587778,18.523611
348,Phung Cong,81,105.578092,18.469067
353,Yen Due,82,105.566389,18.426944
