Annee,Ligne,km_exploites,Total_123,Total_4,KM_total_123,KM_total_4,KM_moyen_123,KM_moyen_4,Recettes_123,Recettes_4
1923,na_cham_hanoi,179,96906,739166,2168978,22080830,22.4,29.9,49604.68,253146.78
1923,hanoi_ben_thuy,326,55192,1308924,4812468,57082078,87.2,43.6,106248.17,649125.54
1923,dong_ha_tourane,175,15139,317952,1415384,12299200,95,39,34803.4,141400.64
1923,nha_trang_saigon,466,52104,554879,4408637,20104499,84.6,36.2,99877.25,312013.41
1923,saigon_my_tho,70,68245,408349,2979418,12459357,43.6,30.5,71653.55,233286.64
1923,total,1216,287586,3329270,15784885,124025964,54.8875292955846,37.2532008518384,362187.05,1588973.01
1925,na_cham_hanoi,179,79786,676489,2059331,21154370,25.8,31.3,46795.44,213535.29
1925,hanoi_ben_thuy,326,56259,1078193,5152702,51847906,91.6,48.1,110380.81,584141.89
1925,dong_ha_tourane,175,12260,252173,1261402,10072891,103,40,27626.57,115155.67
1925,nha_trang_saigon,466,44616,566539,3823784,24884768,85.7,41,90127.14,334199.07
1925,saigon_my_tho,70,49176,525289,2413596,14807608,49.1,28.2,59908.18,239601.05
1925,total,1216,242097,3098683,14710815,122767543,60.7641358628979,39.6192650232373,334838.14,1486632.97
1927,na_cham_hanoi,179,88131,1115036,2257065,34346417,25.6,30.8,46438.18,268205.77
1927,hanoi_ben_thuy,326,57996,2523289,5421659,95802131,93.5,38,110298.72,745736.81
1927,dong_ha_tourane,175,11920,394831,1053878,15494129,88.4,39.2,22364.41,122867.63
1927,nha_trang_saigon,466,37452,1017915,5133883,49253369,137.1,48.3,113963.13,497888.22
1927,saigon_my_tho,70,36093,965566,2064101,25879923,57.2,26.8,38474.55,282674.5
1927,total,1216,231592,6016637,15930586,220775969,68.7872897163978,36.6942477998922,331538.99,1917372.93
1929,na_cham_hanoi,179,39386,1312653,2215002,39870407,56.23,30.37,47617.06,304252.68
1929,hanoi_ben_thuy,326,53241,3275094,6289127,128402393,118.13,39.2,138816.88,980764.87
1929,ben_thuy_dong_ha,300,11421,749466,1881438,33246463,164.73,44.36,68524.56,294915.26
1929,dong_ha_tourane,175,12469,329162,1685666,16729978,135.2,50.83,29603.01,114425.99
1929,nha_trang_saigon,466,35121,1039973,6156122,53989364,175.28,51.91,148243.14,546426.2
1929,saigon_my_tho,70,39668,955166,2296933,23784062,57.9,24.9,40250.26,258224.25
1929,total,1516,191306,7661514,20524288,296022667,107.285124355744,38.6376200578632,473054.91,2499009.25
1931,na_cham_hanoi,179,34773,1295358,2065556,40041251,59.4,30.91,44534.14,312202.28
1931,hanoi_ben_thuy,326,42713,2541020,6286113,107453830,147.17,42.29,143995.68,819564.45
1931,ben_thuy_dong_ha,300,12103,675287,2115584,33531635,174.8,49.66,52750.07,292838.75
1931,dong_ha_tourane,175,13586,281463,2243851,17388439,165.16,61.78,59131.09,149407.41
1931,nha_trang_saigon,466,24642,927618,5504531,44240713,223.38,47.69,137905.37,380790.54
1931,saigon_my_tho,70,23672,889434,1362927,24925763,57.58,28.02,23095.3,226394.13
1931,total,1516,151489,4323262,19578562,267581631,129.24081616487,61.8934570701475,461411.65,2181197.56
1933,na_cham_hanoi,179,23538,1132065,1412455,34625231,60,30.59,28615.35,238630.35
1933,hanoi_ben_thuy,326,34396,2157610,7519129,81024508,218.6,37.55,137470.8,491241.7
1933,ben_thuy_dong_ha,320,8738,454.04,1920794,23281798,219.82,51.28,42180.99,187927.12
1933,dong_ha_tourane,175,9213,257809,1684452,27026212,182.83,104.83,39823.55,136664.28
1933,nha_trang_saigon,466,13510,869183,4806271,41696302,355.76,47.97,121840.5,256744.67
1933,saigon_my_tho,70,6408,984721,451655,27820364,70.48,28.25,7542.36,149287.57
1933,total,1536,95803,5401842.04,17794756,235474415,185.743202196173,43.5915032791296,377473.55,1460495.69
1936,na_cham_hanoi,179,17465,1532914,1092703,45101965,62.6,29.4,16869.57,213444.41
1936,transindochinois,1866,66720,5456826,18107458,284768965,271.4,52.2,363548.33,1423891.08
1936,saigon_my_tho,70,6504,1374209,446242,40097940,68.6,29.2,5215.43,181440.74
1936,total,2115,90689,8363949,19646403,369968870,216.634906107687,44.2337548925753,385633.33,1818776.23
